normalized_frequency,frequency_hz,amplitude,sine_coefficient,cosine_coefficient
1,100,0.9,0.9,0
4,400,0.00020532080181,0,-0.00020532080181
6,600,0.0119746009512,0,-0.0119746009512
8,800,0.26830991818,0,-0.26830991818
10,1000,0.712256120843,0,-0.712256120843
12,1200,0.26830991818,0,-0.26830991818
13,1300,0.0011064470742,0.0011064470742,0
14,1400,0.0119746009512,0,-0.0119746009512
15,1500,0.0212911848735,0.0212911848735,0
16,1600,0.00020532080181,0,-0.00020532080181
17,1700,0.176838596547,0.176838596547,0
19,1900,0.254985280619,0.254985280619,0
21,2100,0.254985280619,-0.254985280619,0
23,2300,0.176838596547,-0.176838596547,0
24,2400,0.027400860282,0,0.027400860282
25,2500,0.0212911848735,-0.0212911848735,0
26,2600,0.133987168271,0,0.133987168271
27,2700,0.0011064470742,-0.0011064470742,0
28,2800,0.126730328529,0,0.126730328529
30,3000,0.15727197143,0,-0.15727197143
32,3200,0.126730328529,0,0.126730328529
33,3300,0.0314901145045,-0.0314901145045,0
34,3400,0.133987168271,0,0.133987168271
35,3500,0.107023374048,-0.107023374048,0
36,3600,0.027400860282,0,0.027400860282
37,3700,0.0683808418784,-0.0683808418784,0
39,3900,0.104761262156,0.104761262156,0
41,4100,0.104761262156,-0.104761262156,0
43,4300,0.0683808418784,0.0683808418784,0
44,4400,0.0873141713266,0,-0.0873141713266
45,4500,0.107023374048,0.107023374048,0
46,4600,0.0356425378147,0,-0.0356425378147
47,4700,0.0314901145045,0.0314901145045,0
48,4800,0.0751756709081,0,0.0751756709081
50,5000,0.0763168182533,0,-0.0763168182533
52,5200,0.0751756709081,0,0.0751756709081
54,5400,0.0356425378147,0,-0.0356425378147
56,5600,0.0873141713266,0,-0.0873141713266
