normalized_frequency,frequency_hz,amplitude,sine_coefficient,cosine_coefficient
1,100,0.9,0.9,0
6.4,640,0.0119746009512,0,-0.0119746009512
8.4,840,0.26830991818,0,-0.26830991818
12.4,1240,0.26830991818,0,-0.26830991818
13.8,1380,0.0011064470742,0.0011064470742,0
14.4,1440,0.0119746009512,0,-0.0119746009512
15.8,1580,0.0212911848735,0.0212911848735,0
19.8,1980,0.254985280619,0.254985280619,0
21.8,2180,0.254985280619,-0.254985280619,0
25.8,2580,0.0212911848735,-0.0212911848735,0
27.2,2720,0.133987168271,0,0.133987168271
27.8,2780,0.0011064470742,-0.0011064470742,0
29.2,2920,0.126730328529,0,0.126730328529
33.2,3320,0.126730328529,0,0.126730328529
34.6,3460,0.0314901145045,-0.0314901145045,0
35.2,3520,0.133987168271,0,0.133987168271
36.6,3660,0.107023374048,-0.107023374048,0
40.6,4060,0.104761262156,0.104761262156,0
42.6,4260,0.104761262156,-0.104761262156,0
46.6,4660,0.107023374048,0.107023374048,0
48,4800,0.0356425378147,0,-0.0356425378147
48.6,4860,0.0314901145045,0.0314901145045,0
50,5000,0.0751756709081,0,0.0751756709081
54,5400,0.0751756709081,0,0.0751756709081
56,5600,0.0356425378147,0,-0.0356425378147
