wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-2.035159698893430846e+00,2.035159698893430402e+00,1.035159698893430846e+00,-1.000000000000000000e+00,3.070319397786861249e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.035159698893430846e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.283813688548441426e-04,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.476696119626733647e-03,-2.035897645148478485e+00,2.034420949028851400e+00,1.037374341268105127e+00,-1.000000000000000000e+00,3.070318594177329885e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.035897645148478485e+00,9.959995999599959848e-01,1.000000000000000000e+00
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.262601575006621957e-01,-2.298662211710240211e+00,1.572402054209576905e+00,2.024922369210902406e+00,-1.000000000000000000e+00,2.871064265919817338e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.298662211710240211e+00,-9.997999799979995217e-01,1.000000000000000000e+00
4.392385768295360426e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,9.993385405335443172e-01,-2.341642902285757888e+00,1.342304361752212571e+00,2.340981442819302316e+00,-1.000000000000000000e+00,2.683947264037970459e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.341642902285757888e+00,-2.037203720372033899e-01,1.000000000000000000e+00
4.398669581983908894e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000674865037880501e+00,-2.341766866643708589e+00,1.341092001605827644e+00,2.342441731681589090e+00,-1.000000000000000000e+00,2.682858868249536233e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.341766866643708589e+00,-1.997199719971995968e-01,1.000000000000000000e+00
5.234416802560851734e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.174680271393076847e+00,-2.349999971002238119e+00,1.175319699609159940e+00,2.524680242395314966e+00,-1.000000000000000000e+00,2.525319670611398060e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.349999971002238119e+00,3.323332333233328661e-01,1.000000000000000000e+00
6.076447836826343041e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.341698247902419094e+00,-2.341705000046357288e+00,1.000006752143937083e+00,2.683403247948776382e+00,-1.000000000000000000e+00,2.341711752190294149e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.341705000046357288e+00,8.683868386838686781e-01,1.000000000000000000e+00
6.082731650514890953e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.342910343095379044e+00,-2.341580573368040596e+00,9.986702302726607750e-01,2.684490916463419641e+00,-1.000000000000000000e+00,2.340250803640701260e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.341580573368040596e+00,8.723872387238720272e-01,1.000000000000000000e+00
6.283813688548441911e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.381414807393612998e+00,-2.337111013822601446e+00,9.556962064289876713e-01,2.718525821216214666e+00,-1.000000000000000000e+00,2.292807220251589229e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.337111013822601446e+00,9.995999599959990434e-01,1.000000000000000000e+00
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.901320125374201586e+00,-2.146741721954256388e+00,2.454215965800539134e-01,3.048061847328457752e+00,-1.000000000000000000e+00,1.392163318534310301e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.146741721954256388e+00,-9.993999399939985651e-01,1.000000000000000000e+00
1.046883360512170347e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.034790424394108399e+00,-2.035528772490364791e+00,7.383480962550184948e-04,3.070319196884473190e+00,-1.000000000000000000e+00,1.036267120586619850e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.035528772490364791e+00,-3.353335333533342677e-01,1.000000000000000000e+00
1.047511741881025138e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.035528772490365235e+00,-2.034790424394108399e+00,-7.383480962576811869e-04,1.000000000000000000e+00,-3.070319196884473634e+00,-1.036267120586622958e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.035528772490365235e+00,-3.313331333133309187e-01,0.000000000000000000e+00
