wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-1.073871500692703984e+00,1.073871500692703762e+00,1.110223024625156540e-16,-1.073871500692703762e+00,1.073871500692703762e+00,1.110223024625156540e-16,-1.000000000000000000e+00,1.000000000000000000e+00,-1.110223024625156540e-16,1.000000000000000000e+00
6.283813688548441426e-04,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.791928461009147572e-04,-1.074260885099622698e+00,1.073481692253521524e+00,1.168789269151501373e-03,-1.073871288676572000e+00,1.073871288676572000e+00,1.168789269151501373e-03,-1.000000000000000000e+00,1.000000000000000000e+00,-3.895964230505866155e-04,9.959995999599959848e-01
1.212776041889849221e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.500158518858849543e-01,-1.140991712469367370e+00,9.909758605834817491e-01,2.250237778288277646e-01,-1.065983786526424559e+00,1.065983786526424559e+00,2.250237778288277646e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-7.500792594294281024e-02,2.279227922792279593e-01
1.219059855578397689e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.507892918497954760e-01,-1.141296584237038170e+00,9.905072923872423329e-01,2.261839377746933943e-01,-1.065901938312140196e+00,1.065901938312140196e+00,2.261839377746933943e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-7.539464592489791839e-02,2.239223922392239441e-01
3.141906844274220956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.832181256599238584e-01,-1.212911124476892644e+00,8.296929988169682302e-01,5.748271884898861206e-01,-1.021302061646930381e+00,1.021302061646930381e+00,5.748271884898861206e-01,-1.000000000000000000e+00,1.000000000000000000e+00,-1.916090628299622067e-01,-9.997999799979995217e-01
5.975906817809567562e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,6.976889020506933381e-01,-1.236607170994186822e+00,5.389182689434930396e-01,9.671480365224400799e-01,-9.671480365224400799e-01,8.083774034152397814e-01,9.671480365224400799e-01,-9.671480365224400799e-01,8.083774034152397814e-01,-2.694591344717467418e-01,8.043804380438044355e-01
5.982190631498116584e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.983329180606968611e-01,-1.236549325477872330e+00,5.382164074171748025e-01,9.674411217692846510e-01,-9.674411217692846510e-01,8.073246111257625923e-01,9.674411217692846510e-01,-9.674411217692846510e-01,8.073246111257625923e-01,-2.691082037085877343e-01,8.083808380838091168e-01
6.246110806417151107e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.251294685080592606e-01,-1.233679216067938178e+00,5.085497475598781403e-01,9.794043422879987748e-01,-9.794043422879987748e-01,7.628246213398175435e-01,9.794043422879987748e-01,-9.794043422879987748e-01,7.628246213398175435e-01,-2.542748737799394587e-01,9.763976397639773097e-01
6.252394620105699019e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.257613992677279802e-01,-1.233600398216428529e+00,5.078389989487002154e-01,9.796808987420781989e-01,-9.796808987420781989e-01,7.617584984230505452e-01,9.796808987420781989e-01,-9.796808987420781989e-01,7.617584984230505452e-01,-2.539194994743502742e-01,9.803980398039806587e-01
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.289167494332255970e-01,-1.233199003038308872e+00,5.042822536050828308e-01,9.810578762357672344e-01,-9.810578762357672344e-01,7.564233804076244683e-01,9.810578762357672344e-01,-9.810578762357672344e-01,7.564233804076244683e-01,-2.521411268025416375e-01,9.995999599959990434e-01
6.308948943302634671e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.314358502601392420e-01,-1.232869121701734683e+00,5.014332714415946635e-01,9.821524859809369623e-01,-9.821524859809369623e-01,7.521499071623923838e-01,9.821524859809369623e-01,-9.821524859809369623e-01,7.521499071623923838e-01,-2.507166357207977203e-01,9.835983598359829827e-01
6.315232756991183694e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.320649040456443934e-01,-1.232785434249293210e+00,5.007205302036483729e-01,9.824251691474688020e-01,-9.824251691474688020e-01,7.510807953054727815e-01,9.824251691474688020e-01,-9.824251691474688020e-01,7.510807953054727815e-01,-2.503602651018244085e-01,9.795979597959796337e-01
6.805370224697961934e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,7.802210291145883492e-01,-1.224760955937114870e+00,4.445399268225262990e-01,1.002490992525851610e+00,-1.002490992525851610e+00,6.668098902337895595e-01,1.000000000000000000e+00,-1.000000000000000000e+00,6.668098902337895595e-01,-2.222699634112632605e-01,6.675667566756677829e-01
6.811654038386510956e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,7.808264909720397107e-01,-1.224638930326290343e+00,4.438124393542502988e-01,1.002732710649165027e+00,-1.002732710649165027e+00,6.657186590313756147e-01,1.000000000000000000e+00,-1.000000000000000000e+00,6.657186590313756147e-01,-2.219062196771253159e-01,6.635663566356635457e-01
9.425720532822662312e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.003249768282557408e+00,-1.132748823499267088e+00,1.294990552167092912e-01,1.067999295890912137e+00,-1.067999295890912137e+00,1.942485828250641311e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.942485828250641311e-01,-6.474952760835483989e-02,-9.993999399939985651e-01
1.087099768118880316e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.097749522103977471e+00,-1.048283901977909993e+00,-4.946562012606800507e-02,1.073016712040943732e+00,-1.073016712040943732e+00,-7.419843018910174393e-02,1.000000000000000000e+00,-1.000000000000000000e+00,-7.419843018910174393e-02,2.473281006303373886e-02,-7.930793079307907334e-02
1.087728149487735108e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.098111672779387371e+00,-1.047867489801321161e+00,-5.024418297806705624e-02,1.072989581290354266e+00,-1.072989581290354266e+00,-7.536627446710016109e-02,1.000000000000000000e+00,-1.000000000000000000e+00,-7.536627446710016109e-02,2.512209148903310485e-02,-7.530753075307572431e-02
1.256762737709688382e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.179358227661979175e+00,-9.213952999517397435e-01,-2.579629277102396534e-01,1.050376763806859515e+00,-1.050376763806859515e+00,-3.869443915653593691e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-3.869443915653593691e-01,1.289814638551197157e-01,9.991999199919980867e-01
1.555872269284594100e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.239861911517643023e+00,-6.359568808760223124e-01,-6.039050306416210434e-01,9.379093961968326676e-01,-9.379093961968326676e-01,-9.058575459624313986e-01,9.379093961968326676e-01,-9.379093961968326676e-01,-9.058575459624313986e-01,3.019525153208103552e-01,-9.049904990499051394e-01
1.556500650653448892e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.239873295016943544e+00,-6.352878438094288205e-01,-6.045854512075151677e-01,9.375805694131862378e-01,-9.375805694131862378e-01,-9.068781768112725850e-01,9.375805694131862378e-01,-9.375805694131862378e-01,-9.068781768112725850e-01,3.022927256037573618e-01,-9.089908990899093766e-01
1.560270938866578083e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.239931314683659247e+00,-6.312683627763289174e-01,-6.086629519073309957e-01,9.355998387299940822e-01,-9.355998387299940822e-01,-9.129944278609961605e-01,9.355998387299940822e-01,-9.355998387299940822e-01,-9.129944278609961605e-01,3.043314759536651648e-01,-9.329932993299347999e-01
1.560899320235432874e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.239939271037626689e+00,-6.305975753007815321e-01,-6.093416957368453790e-01,9.352684231692041106e-01,-9.352684231692041106e-01,-9.140125436052679575e-01,9.352684231692041106e-01,-9.352684231692041106e-01,-9.140125436052679575e-01,3.046708478684225785e-01,-9.369936993699372607e-01
1.570953422137110422e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.239999984699053259e+00,-6.198312921393253072e-01,-6.201686925597281741e-01,9.300843386293906612e-01,-9.297469382089877943e-01,-9.300843386293906612e-01,9.300843386293906612e-01,-9.297469382089877943e-01,-9.300843386293906612e-01,3.099156460696625426e-01,-9.989998999899984966e-01
