wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_zero, c
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,-8.660254037844387076e-01,8.660254037844384856e-01,1.110223024625156540e-16,-8.660254037844385966e-01,8.660254037844385966e-01,-1.110223024625156540e-16,1.000000000000000000e+00
2.073658517220985584e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.073509906161044233e-02,-8.762067619427743592e-01,8.554716628811637191e-01,3.110264859241576238e-02,-8.658392124119690392e-01,8.658392124119690392e-01,-1.036754953080532005e-02,8.679867986798679436e-01
2.136496654106469911e-02,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.136334119632988388e-02,-8.765094281456444758e-01,8.551460869493140438e-01,3.204501179449509990e-02,-8.658277575474793153e-01,8.658277575474793153e-01,-1.068167059816521602e-02,8.639863986398639284e-01
1.269330365086785151e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.265924535737492640e-01,-9.223542941045814736e-01,7.957618405308315435e-01,1.898886803606242291e-01,-8.590580673177065085e-01,8.590580673177065085e-01,-6.329622678687496506e-02,1.919191919191920448e-01
1.275614178775333618e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.272157544625102943e-01,-9.225968840656854075e-01,7.953811296031746414e-01,1.908236316937656774e-01,-8.589890068344300245e-01,8.589890068344300245e-01,-6.360787723125538307e-02,1.879187918791878076e-01
2.871702855666637966e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,2.832395273487979814e-01,-9.721807353137015273e-01,6.889412079649031018e-01,4.248592910231971942e-01,-8.305609716393023145e-01,8.305609716393023145e-01,-1.416197636743992128e-01,-8.281828182818284922e-01
2.877986669355186433e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.838421200385057852e-01,-9.723277303736250765e-01,6.884856103351187917e-01,4.257631800577589276e-01,-8.304066703543719896e-01,8.304066703543719896e-01,-1.419210600192531424e-01,-8.321832183218322854e-01
3.141906844274220956e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.090468755321966743e-01,-9.781541326426553828e-01,6.691072571104582645e-01,4.635703132982952335e-01,-8.236306948765568237e-01,8.236306948765568237e-01,-1.545234377660985592e-01,-9.997999799979995217e-01
3.430962273947448793e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.364044717924669636e-01,-9.837535975642301977e-01,6.473491257717628455e-01,5.046067076887006397e-01,-8.155513616679965772e-01,8.155513616679965772e-01,-1.682022358962336761e-01,-8.157815781578157122e-01
3.437246087635997260e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,3.369961631289581927e-01,-9.838662128568852472e-01,6.468700497279266104e-01,5.054942446934375111e-01,-8.153681312924059288e-01,8.153681312924059288e-01,-1.684980815644793184e-01,-8.117811781178119190e-01
5.774824779776017714e-01,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,5.459163892099773152e-01,-9.985486245266872452e-01,4.526322353167094859e-01,7.722325068683322247e-01,-7.722325068683322247e-01,6.789483529750643953e-01,-2.263161176583549650e-01,6.763676367636763942e-01
5.781108593464565626e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.464427642266794782e-01,-9.985145842517777481e-01,4.520718200250977703e-01,7.724786742392286687e-01,-7.724786742392286687e-01,6.781077300376469053e-01,-2.260359100125491350e-01,6.803680368036806314e-01
5.931920121989728845e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.590105568302948802e-01,-9.975793679172075823e-01,4.385688110869124801e-01,7.782949623737511757e-01,-7.782949623737511757e-01,6.578532166303687756e-01,-2.192844055434563511e-01,7.763776377637765513e-01
5.938203935678276757e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.595314754633842202e-01,-9.975354751644750495e-01,4.380039997010904407e-01,7.785334753139296904e-01,-7.785334753139296904e-01,6.570059995516358553e-01,-2.190019998505454146e-01,7.803780378037803445e-01
6.283813688548441911e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,5.878360882526012521e-01,-9.945153250308942372e-01,4.066792367782925965e-01,7.911757066417477446e-01,-7.911757066417477446e-01,6.100188551674390336e-01,-2.033396183891464926e-01,9.995999599959990434e-01
6.591720559287315151e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.124625725205957716e-01,-9.908240104007830507e-01,3.783614378801866129e-01,8.016432914606894666e-01,-8.016432914606894666e-01,5.675421568202803080e-01,-1.891807189400936395e-01,8.035803580358029663e-01
6.598004372975863063e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.129591867811040595e-01,-9.907388837955020122e-01,3.777796970143975641e-01,8.018490352883029804e-01,-8.018490352883029804e-01,5.666695455215965405e-01,-1.888898485071989763e-01,7.995799579957996173e-01
7.063006585928448544e-01,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,6.490238777220388444e-01,-9.833563853049323011e-01,3.343325075828930681e-01,8.161901315134856283e-01,-8.161901315134856283e-01,5.014987613743397965e-01,-1.671662537914467284e-01,5.035503550355029390e-01
