id_A,iq_A,Ldq_mH_if2,Ldq_mH_if3,Ldq_mH_if4,Ldq_mH_if5
-30.0,-35.0,7.000068965320846,7.857135456922543,8.714215498736843,9.571471998120447
-25.0,-35.0,6.999977897315329,7.857143583183625,8.714230510671939,9.571466762486518
-20.0,-35.0,6.999976842853585,7.857149387655828,8.714241002858014,9.571463152104808
-15.0,-35.0,7.000062518262763,7.857152870339149,8.714270462942594,9.571461166975316
-10.0,-35.0,6.99999163987001,7.857154031233592,8.714272641974627,9.571460807098042
-5.0,-35.0,7.000000924002478,7.857152870339152,8.714245360922083,9.571462072472984
0.0,-35.0,7.000007086987319,7.857149387655828,8.714256661168081,9.571464963100134
5.0,-35.0,7.000086845151685,7.85714358318362,8.714238501329506,9.571469478979507
10.0,-35.0,7.000076914822724,7.857135456922534,8.714209041244942,9.571475620111114
-30.0,-30.0,6.500004530884134,7.234647314740602,7.969361207551345,8.7041451775892
-25.0,-30.0,6.50003122478312,7.234617319439455,7.969391427955444,8.704140689902976
-20.0,-30.0,6.500001741341663,7.234618425053208,7.969394495370245,8.704137595290081
-15.0,-30.0,6.500002462438747,7.234619088421462,7.969396271428176,8.704135893750516
-10.0,-30.0,6.5000039279824255,7.234619309544214,7.96939675612925,8.704135585284279
-5.0,-30.0,6.50000540826762,7.234619088421457,7.969395949473455,8.70413666989137
0.0,-30.0,6.500047781151654,7.234618425053201,7.969393851460796,8.704139147571793
5.0,-30.0,6.500005494242253,7.234617319439457,7.969390462091265,8.704143018325544
10.0,-30.0,6.499991882346902,7.234647314740592,7.969357344094639,8.704148282152628
-30.0,-25.0,6.000043008198124,6.61229835871639,7.224506999154208,7.8367686259985
-25.0,-25.0,6.000001754432134,6.6123674094548415,7.224572694885616,7.836764886259981
-20.0,-25.0,6.0,6.6124,7.224599999999998,7.836799999999999
-15.0,-25.0,6.0,6.612399999999999,7.224599999999998,7.836799999999999
-10.0,-25.0,6.0,6.612399999999996,7.224599999999993,7.836799999999999
-5.0,-25.0,6.000200000000001,6.612399999999996,7.224599999999993,7.836799999999999
0.0,-25.0,6.000000000000003,6.612400000000007,7.224600000000003,7.836799999999999
5.0,-25.0,6.0000018958622405,6.612367409454837,7.224572267145769,7.836766826612121
10.0,-25.0,6.000013209165538,6.612298358716387,7.224505288194812,7.836771213134692
-30.0,-20.0,5.500023593260492,5.989789986456239,6.479572908040577,6.969400421238838
-25.0,-20.0,5.499987103797388,5.98979769405825,6.47955292130794,6.969377640067439
