id_A,iq_A,psi_q_Vs_if2,psi_q_Vs_if3,psi_q_Vs_if4,psi_q_Vs_if5
-30.0,-35.0,-1.11088466244957,-0.9775785029556217,-0.855381190086169,-0.7331838772167163
-25.0,-35.0,-1.1433846624495705,-1.0061785029556218,-0.8804061900861692,-0.7546338772167164
-20.0,-35.0,-1.1758846624495702,-1.0347785029556218,-0.9054311900861692,-0.7760838772167163
-15.0,-35.0,-1.2083846624495702,-1.0633785029556218,-0.9304561900861692,-0.7975338772167164
-10.0,-35.0,-1.2408846624495702,-1.0919785029556217,-0.955481190086169,-0.8189838772167164
-5.0,-35.0,-1.2733846624495702,-1.1205785029556217,-0.980506190086169,-0.8404338772167164
0.0,-35.0,-1.30588466244957,-1.1491785029556216,-1.005531190086169,-0.8618838772167163
5.0,-35.0,-1.33838466244957,-1.1777785029556218,-1.030556190086169,-0.8833338772167163
10.0,-35.0,-1.35,-1.2063785029556218,-1.0555811900861691,-0.9047838772167164
-30.0,-30.0,-1.0189324551926986,-0.8966605605695748,-0.784577990498378,-0.6724954204271811
-25.0,-30.0,-1.0503610266212702,-0.9243177034267176,-0.8087779904983781,-0.6932382775700383
-20.0,-30.0,-1.0817895980498415,-0.9519748462838604,-0.832977990498378,-0.7139811347128955
-15.0,-30.0,-1.1132181694784131,-0.9796319891410036,-0.8571779904983782,-0.7347239918557527
-10.0,-30.0,-1.1446467409069845,-1.0072891319981463,-0.8813779904983781,-0.7554668489986098
-5.0,-30.0,-1.1760753123355558,-1.0349462748552891,-0.905577990498378,-0.7762097061414669
0.0,-30.0,-1.2075038837641274,-1.0626034177124322,-0.9297779904983782,-0.7969525632843242
5.0,-30.0,-1.2389324551926988,-1.090260560569575,-0.953977990498378,-0.8176954204271812
10.0,-30.0,-1.2703610266212704,-1.117917703426718,-0.9781779904983782,-0.8384382775700385
-30.0,-25.0,-0.915124313344057,-0.8053093957427702,-0.7046457212749239,-0.6039820468070777
-25.0,-25.0,-0.9454814562012,-0.832023681457056,-0.728020721274924,-0.624017761092792
-20.0,-25.0,-0.9758385990583428,-0.8587379671713415,-0.7513957212749239,-0.6440534753785062
-15.0,-25.0,-1.0061957419154857,-0.8854522528856273,-0.774770721274924,-0.6640891896642206
-10.0,-25.0,-1.0365528847726284,-0.912166538599913,-0.7981457212749239,-0.6841249039499347
-5.0,-25.0,-1.0669100276297712,-0.9388808243141986,-0.8215207212749238,-0.704160618235649
0.0,-25.0,-1.097267170486914,-0.9655951100284844,-0.8448957212749238,-0.7241963325213634
5.0,-25.0,-1.1276243133440569,-0.99230939574277,-0.8682707212749238,-0.7442320468070776
10.0,-25.0,-1.1579814562012,-1.019023681457056,-0.8916457212749239,-0.7642677610927919
-30.0,-20.0,-0.7889417859266303,-0.6942687716154347,-0.6074851751635054,-0.5207015787115761
-25.0,-20.0,-0.8182275002123445,-0.7200402001868631,-0.6300351751635053,-0.5400301501401473
-20.0,-20.0,-0.8475132144980588,-0.7458116287582918,-0.6525851751635053,-0.5593587215687189
-15.0,-20.0,-0.8767989287837731,-0.7715830573297203,-0.6751351751635053,-0.5786872929972903
-10.0,-20.0,-0.9060846430694874,-0.797354485901149,-0.6976851751635054,-0.5980158644258617
-5.0,-20.0,-0.9353703573552018,-0.8231259144725775,-0.7202351751635054,-0.6173444358544332
0.0,-20.0,-0.964656071640916,-0.8488973430440061,-0.7427851751635054,-0.6366730072830046
5.0,-20.0,-0.9939417859266304,-0.8746687716154348,-0.7653351751635055,-0.656001578711576
10.0,-20.0,-1.0232275002123443,-0.9004402001868632,-0.7878851751635053,-0.6753301501401474
-30.0,-15.0,-0.6302565461105207,-0.5546257605772582,-0.485297540505101,-0.4159693204329437
-25.0,-15.0,-0.6584708318248064,-0.5794543320058296,-0.5070225405051009,-0.4345907490043722
-20.0,-15.0,-0.6866851175390921,-0.604282903434401,-0.528747540505101,-0.4532121775758008
-15.0,-15.0,-0.7148994032533779,-0.6291114748629725,-0.550472540505101,-0.4718336061472294
-10.0,-15.0,-0.7431136889676636,-0.653940046291544,-0.572197540505101,-0.490455034718658
-5.0,-15.0,-0.7713279746819494,-0.6787686177201154,-0.5939225405051011,-0.5090764632900866
0.0,-15.0,-0.7995422603962351,-0.7035971891486869,-0.6156475405051011,-0.5276978918615152
5.0,-15.0,-0.8277565461105209,-0.7284257605772584,-0.6373725405051011,-0.5463193204329437
10.0,-15.0,-0.8559708318248065,-0.7532543320058297,-0.659097540505101,-0.5649407490043723
-30.0,-10.0,-0.4326262644769785,-0.380711112739741,-0.3331222236472734,-0.2855333345548058
-25.0,-10.0,-0.4597691216198356,-0.4045968270254553,-0.3540222236472734,-0.3034476202690915
-20.0,-10.0,-0.4869119787626927,-0.4284825413111696,-0.3749222236472734,-0.3213619059833772
-15.0,-10.0,-0.5140548359055499,-0.4523682555968839,-0.3958222236472734,-0.3392761916976629
-10.0,-10.0,-0.541197693048407,-0.4762539698825982,-0.4167222236472734,-0.3571904774119486
-5.0,-10.0,-0.5683405501912642,-0.5001396841683124,-0.4376222236472734,-0.3751047631262343
0.0,-10.0,-0.5954834073341214,-0.5240253984540268,-0.4585222236472735,-0.3930190488405201
5.0,-10.0,-0.6226262644769784,-0.547911112739741,-0.4794222236472734,-0.4109333345548058
10.0,-10.0,-0.6497691216198356,-0.5717968270254553,-0.5003222236472734,-0.4288476202690915
-30.0,-5.0,-0.197648376697134,-0.1739305714934779,-0.1521892500567931,-0.1304479286201084
-25.0,-5.0,-0.2237198052685625,-0.196873428636335,-0.1722642500567931,-0.1476550714772513
-20.0,-5.0,-0.2497912338399911,-0.2198162857791922,-0.1923392500567932,-0.1648622143343941
-15.0,-5.0,-0.2758626624114197,-0.2427591429220493,-0.2124142500567931,-0.182069357191537
-10.0,-5.0,-0.3019340909828483,-0.2657020000649065,-0.2324892500567932,-0.1992765000486799
-5.0,-5.0,-0.3280055195542768,-0.2886448572077636,-0.2525642500567931,-0.2164836429058227
0.0,-5.0,-0.3540769481257054,-0.3115877143506207,-0.2726392500567932,-0.2336907857629656
5.0,-5.0,-0.380148376697134,-0.3345305714934779,-0.2927142500567932,-0.2508979286201084
10.0,-5.0,-0.4062198052685625,-0.357473428636335,-0.3127892500567931,-0.2681050714772513
-30.0,0.0,0.0621921103514688,0.0547290571092926,0.047887924970631,0.0410467928319694
-25.0,0.0,0.0371921103514688,0.0327290571092926,0.028637924970631,0.0245467928319694
-20.0,0.0,0.0121921103514688,0.0107290571092925,0.009387924970631,0.0080467928319694
-15.0,0.0,-0.0128078896485311,-0.0112709428907074,-0.0098620750293689,-0.0084532071680305
-10.0,0.0,-0.0378078896485311,-0.0332709428907074,-0.0291120750293689,-0.0249532071680305
-5.0,0.0,-0.0628078896485311,-0.0552709428907074,-0.0483620750293689,-0.0414532071680305
0.0,0.0,-0.0878078896485311,-0.0772709428907074,-0.0676120750293689,-0.0579532071680305
5.0,0.0,-0.1128078896485311,-0.0992709428907074,-0.0868620750293689,-0.0744532071680305
10.0,0.0,-0.1378078896485311,-0.1212709428907074,-0.1061120750293689,-0.0909532071680305
-30.0,5.0,0.325618897626635,0.2865446299114388,0.2507265511725089,0.2149084724335791
-25.0,5.0,0.3016903261980636,0.2654874870542959,0.2323015511725089,0.1991156152907219
-20.0,5.0,0.2777617547694921,0.2444303441971531,0.2138765511725089,0.1833227581478648
-15.0,5.0,0.2538331833409207,0.2233732013400102,0.1954515511725089,0.1675299010050077
-10.0,5.0,0.2299046119123493,0.2023160584828674,0.1770265511725089,0.1517370438621505
-5.0,5.0,0.2059760404837779,0.1812589156257245,0.158601551172509,0.1359441867192934
0.0,5.0,0.1820474690552064,0.1602017727685816,0.1401765511725089,0.1201513295764362
5.0,5.0,0.158118897626635,0.1391446299114388,0.1217515511725089,0.1043584724335791
10.0,5.0,0.1341903261980636,0.1180874870542959,0.1033265511725089,0.0885656152907219
-30.0,10.0,0.5700864790088324,0.5016761015277725,0.4389665888368009,0.3762570761458293
-25.0,10.0,0.5472293361516894,0.4815618158134867,0.4213665888368009,0.361171361860115
-20.0,10.0,0.5243721932945465,0.461447530099201,0.4037665888368008,0.3460856475744007
-15.0,10.0,0.5015150504374037,0.4413332443849153,0.3861665888368009,0.3309999332886865
-10.0,10.0,0.4786579075802609,0.4212189586706296,0.3685665888368009,0.3159142190029722
-5.0,10.0,0.455800764723118,0.4011046729563439,0.3509665888368009,0.3008285047172579
0.0,10.0,0.4329436218659752,0.3809903872420581,0.3333665888368008,0.2857427904315436
5.0,10.0,0.4100864790088323,0.3608761015277724,0.3157665888368009,0.2706570761458293
10.0,10.0,0.3872293361516894,0.3407618158134867,0.2981665888368008,0.255571361860115
-30.0,15.0,0.7801677754986927,0.6865476424388496,0.6007291871339934,0.5149107318291372
-25.0,15.0,0.7583820612129785,0.6673762138674211,0.5839541871339934,0.5005321604005658
-20.0,15.0,0.7365963469272642,0.6482047852959925,0.5671791871339934,0.4861535889719944
-15.0,15.0,0.7148106326415499,0.6290333567245638,0.5504041871339934,0.4717750175434229
-10.0,15.0,0.6930249183558356,0.6098619281531353,0.5336291871339934,0.4573964461148515
-5.0,15.0,0.6712392040701213,0.5906904995817067,0.5168541871339934,0.44301787468628
0.0,15.0,0.649453489784407,0.5715190710102781,0.5000791871339934,0.4286393032577086
5.0,15.0,0.6276677754986927,0.5523476424388496,0.4833041871339933,0.4142607318291372
10.0,15.0,0.6058820612129785,0.5331762138674211,0.4665291871339934,0.3998821604005658
-30.0,20.0,0.9513474658403566,0.8371857699395138,0.7325375486970745,0.6278893274546353
-25.0,20.0,0.9306331801260708,0.8189571985109423,0.7165875486970745,0.6142178988832068
-20.0,20.0,0.9099188944117852,0.800728627082371,0.7006375486970746,0.6005464703117782
-15.0,20.0,0.8892046086974994,0.7825000556537994,0.6846875486970746,0.5868750417403497
-10.0,20.0,0.8684903229832137,0.7642714842252281,0.6687375486970746,0.5732036131689211
-5.0,20.0,0.847776037268928,0.7460429127966567,0.6527875486970746,0.5595321845974925
0.0,20.0,0.8270617515546422,0.7278143413680852,0.6368375486970745,0.5458607560260639
5.0,20.0,0.8063474658403567,0.7095857699395138,0.6208875486970746,0.5321893274546354
10.0,20.0,0.7856331801260709,0.6913571985109424,0.6049375486970746,0.5185178988832068
-30.0,25.0,1.05,0.9576650286426236,0.8379569000622956,0.7182487714819676
-25.0,25.0,1.05,0.9403793143569092,0.8228319000622955,0.7052844857676819
-20.0,25.0,1.0489700000809032,0.9230936000711948,0.8077069000622955,0.6923202000533961
-15.0,25.0,1.029327142938046,0.9058078857854804,0.7925819000622955,0.6793559143391104
-10.0,25.0,1.0096842857951889,0.8885221714997662,0.7774569000622954,0.6663916286248247
-5.0,25.0,0.9900414286523316,0.8712364572140519,0.7623319000622955,0.6534273429105389
0.0,25.0,0.9703985715094744,0.8539507429283376,0.7472069000622954,0.6404630571962532
5.0,25.0,0.9507557143666174,0.8366650286426234,0.7320819000622955,0.6274987714819675
10.0,25.0,0.9311128572237604,0.8193793143569091,0.7169569000622955,0.6145344857676819
-30.0,30.0,1.05,1.05,0.9243019523552188,0.7922588163044734
-25.0,30.0,1.05,1.0400022312631072,0.9100019523552187,0.7800016734473304
-20.0,30.0,1.05,1.0236593741202502,0.8957019523552189,0.7677445305901877
-15.0,30.0,1.05,1.0073165169773928,0.8814019523552188,0.7554873877330447
-10.0,30.0,1.05,0.9909736598345358,0.8671019523552188,0.743230244875902
-5.0,30.0,1.05,0.9746308026916788,0.8528019523552189,0.7309731020187591
0.0,30.0,1.05,0.9582879455488216,0.8385019523552188,0.7187159591616162
5.0,30.0,1.05,0.9419450884059644,0.824201952355219,0.7064588163044734
10.0,30.0,1.05,0.9256022312631071,0.8099019523552189,0.6942016734473304
-30.0,35.0,1.05,1.05,0.9997667235980884,0.8569429059412187
-25.0,35.0,1.05,1.05,0.9862917235980884,0.8453929059412186
-20.0,35.0,1.05,1.05,0.9728167235980884,0.8338429059412187
-15.0,35.0,1.05,1.05,0.9593417235980882,0.8222929059412185
-10.0,35.0,1.05,1.05,0.9458667235980884,0.8107429059412186
-5.0,35.0,1.05,1.05,0.9323917235980884,0.7991929059412187
0.0,35.0,1.05,1.05,0.9189167235980882,0.7876429059412186
5.0,35.0,1.05,1.034790541254958,0.9054417235980884,0.7760929059412186
10.0,35.0,1.05,1.019390541254958,0.8919667235980883,0.7645429059412185
