Angle_el,Psi_d,Psi_q
0.000000,0.037746,-0.024436
1.506276,0.037241,-0.024923
3.012552,0.037101,-0.025203
4.518828,0.036922,-0.025393
6.025105,0.036639,-0.025576
7.531381,0.036304,-0.025783
9.037657,0.035960,-0.025942
10.543933,0.035630,-0.025992
12.050209,0.035353,-0.025909
13.556485,0.035141,-0.025746
15.062762,0.034971,-0.025608
16.569038,0.034781,-0.025569
18.075314,0.034558,-0.025555
19.581590,0.034370,-0.025458
21.087866,0.034276,-0.025277
22.594142,0.034251,-0.025056
24.100418,0.034261,-0.024771
25.606695,0.034306,-0.024463
27.112971,0.034387,-0.024200
28.619247,0.034500,-0.023981
30.125523,0.034660,-0.023772
31.631799,0.034876,-0.023575
33.138075,0.035154,-0.023374
34.644351,0.035429,-0.023211
36.150628,0.035637,-0.023095
37.656904,0.035834,-0.022973
39.163180,0.036108,-0.022831
40.669456,0.036409,-0.022691
42.175732,0.036645,-0.022530
43.682008,0.036849,-0.022350
45.188285,0.037106,-0.022180
46.694561,0.037417,-0.022042
48.200837,0.037736,-0.021953
49.707113,0.038132,-0.021866
51.213389,0.038709,-0.021670
52.719665,0.039679,-0.021182
54.225941,0.040838,-0.020632
55.732218,0.041103,-0.020818
57.238494,0.039877,-0.021994
58.744770,0.038210,-0.023303
60.251046,0.037088,-0.024119
61.757322,0.036484,-0.024578
63.263598,0.036132,-0.024933
64.769874,0.035917,-0.025221
66.276151,0.035723,-0.025452
67.782427,0.035471,-0.025617
69.288703,0.035118,-0.025740
70.794979,0.034701,-0.025861
72.301255,0.034250,-0.025986
73.807531,0.033836,-0.026042
75.313808,0.033511,-0.026013
76.820084,0.033304,-0.025892
78.326360,0.033168,-0.025743
79.832636,0.033059,-0.025628
81.338912,0.032983,-0.025526
82.845188,0.032966,-0.025351
84.351464,0.032984,-0.025125
85.857741,0.033019,-0.024909
87.364017,0.033102,-0.024725
88.870293,0.033255,-0.024560
90.376569,0.033504,-0.024368
91.882845,0.033776,-0.024154
93.389121,0.033948,-0.023949
94.895397,0.034046,-0.023761
96.401674,0.034217,-0.023586
97.907950,0.034495,-0.023420
99.414226,0.034891,-0.023254
100.920502,0.035377,-0.023067
102.426778,0.035872,-0.022822
103.933054,0.036273,-0.022554
105.439331,0.036603,-0.022346
106.945607,0.036949,-0.022231
108.451883,0.037364,-0.022186
109.958159,0.037767,-0.022199
111.464435,0.038205,-0.022189
112.970711,0.038597,-0.022190
114.476987,0.038821,-0.022261
115.983264,0.038621,-0.022605
117.489540,0.037820,-0.023355
118.995816,0.036834,-0.024206
120.502092,0.036207,-0.024802
122.008368,0.035910,-0.025160
123.514644,0.035739,-0.025394
125.020921,0.035514,-0.025616
126.527197,0.035209,-0.025834
128.033473,0.034885,-0.026052
129.539749,0.034593,-0.026226
131.046025,0.034270,-0.026319
132.552301,0.033871,-0.026316
134.058577,0.033504,-0.026285
135.564854,0.033242,-0.026312
137.071130,0.033033,-0.026390
138.577406,0.032860,-0.026409
140.083682,0.032762,-0.026360
141.589958,0.032783,-0.026249
143.096234,0.032918,-0.026085
144.602510,0.033098,-0.025828
146.108787,0.033257,-0.025527
147.615063,0.033382,-0.025284
149.121339,0.033450,-0.025155
150.627615,0.033516,-0.025047
152.133891,0.033661,-0.024888
153.640167,0.033917,-0.024704
155.146444,0.034237,-0.024549
156.652720,0.034630,-0.024390
158.158996,0.035091,-0.024227
159.665272,0.035482,-0.024113
161.171548,0.035692,-0.023989
162.677824,0.035875,-0.023802
164.184100,0.036192,-0.023660
165.690377,0.036656,-0.023621
167.196653,0.037202,-0.023580
168.702929,0.037793,-0.023466
170.209205,0.038366,-0.023326
171.715481,0.038774,-0.023322
173.221757,0.038705,-0.023649
174.728033,0.037989,-0.024379
176.234310,0.037108,-0.025173
177.740586,0.036630,-0.025677
179.246862,0.036531,-0.025897
180.753138,0.036542,-0.026036
182.259414,0.036517,-0.026256
183.765690,0.036379,-0.026593
185.271967,0.036130,-0.026956
186.778243,0.035767,-0.027260
