time_s,time_ms,id_ref_A,iq_ref_A,id_A,iq_A,ud_unclipped_V,uq_unclipped_V,ud_clipped_V,uq_clipped_V,xI_d_V,xI_q_V,duty_min,duty_max,saturation_norm_V
0,0,0,0,0,0,0,0,0,0,0,0,0.2051485554,0.8199919171,6.070879796e-14
0.0001,0.1,0,0,-1.288515354,-10.68131866,48.03950836,193.4099198,48.03950836,193.4099198,1.22668641,20.32739563,0.3423445422,0.7713809616,3.218344867e-14
0.0002,0.2,0,0,2.624281614,-2.54766956,1.760082843,152.625458,1.760082843,152.625458,-1.271670022,25.17581278,0.3058379435,0.6937713958,4.296434008e-14
0.0003,0.3,0,0,1.97637594,1.472760638,-13.32806976,124.7151908,-13.32806976,124.7151908,-3.153210326,22.37303265,0.306147688,0.6283292562,1.464821376e-14
0.0004,0.4,0,0,0.4572724193,2.849562228,-14.23364899,109.5191016,-14.23364899,109.5191016,-3.588540715,16.95008996,0.3154580385,0.6083625136,2.309263891e-14
0.0005,0.5,0,0,-0.6146520356,2.832377018,-10.40530491,103.3434984,-10.40530491,103.3434984,-3.003382527,11.55985206,0.3296637938,0.6431915817,3.606704358e-14
0.0006,0.6,0,0,-1.036686575,2.255509184,-6.206904898,102.313914,-6.206904898,102.313914,-2.016440959,7.267439354,0.3536403857,0.6712526009,3.035439898e-14
0.0007,0.7,0,0,-1.00089683,1.580080843,-3.129767355,103.5837512,-3.129767355,103.5837512,-1.063571775,4.260420297,0.3912024799,0.6875467052,2.025480127e-14
0.0008,0.8,0,0,-0.7515134357,1.009108102,-1.316330975,105.4663164,-1.316330975,105.4663164,-0.3481194192,2.340007611,0.3713809039,0.6870095144,2.873312098e-14
0.0009,0.9,0,0,-0.4630312699,0.5975059487,-0.4362637374,107.1576849,-0.4362637374,107.1576849,0.09269347656,1.202906439,0.3322767912,0.667535307,1.747645528e-14
0.001,1,0,0,-0.2247376201,0.3308335301,-0.1052249738,108.3944928,-0.1052249738,108.3944928,0.3066471505,0.5733040126,0.309276307,0.6304136568,4.017814909e-14
0.0011,1.1,0,0,-0.06378715274,0.1719436153,-0.03572959746,109.1837668,-0.03572959746,109.1837668,0.3673735024,0.2460816857,0.3053109695,0.6151551375,6.827871601e-15
0.0012,1.2,0,0,0.0264968145,0.08384625107,-0.05752745238,109.6324484,-0.05752745238,109.6324484,0.3421481278,0.08651562474,0.32084904,0.6588040123,1.315614284e-14
0.0013,1.3,0,0,0.06548459769,0.03807160237,-0.0895669158,109.8587563,-0.0895669158,109.8587563,0.2798057832,0.01406234801,0.3542072603,0.686798656,3.450893255e-14
0.0014,1.4,0,0,0.07317471021,0.01566431542,-0.1043143748,109.9566752,-0.1043143748,109.9566752,0.2101423331,-0.01574808578,0.401640848,0.6964089088,6.980527267e-15
0.0015,1.5,0,0,0.06508792811,0.005275868021,-0.100032475,109.9889889,-0.100032475,109.9889889,0.1481776238,-0.02578848082,0.3539349459,0.6867555737,2.161931298e-14
0.0016,1.6,0,0,0.05129096069,0.0006945081751,-0.08385741243,109.9924482,-0.08385741243,109.9924482,0.0993478398,-0.02711018495,0.3205303093,0.6588272012,3.163497969e-14
0.0017,1.7,0,0,0.03731410384,-0.00121453358,-0.06347442526,109.9859986,-0.06347442526,109.9859986,0.06382423861,-0.02479883132,0.304678268,0.6153709739,1.457101634e-14
0.0018,1.8,0,0,0.02559068208,-0.00192132769,-0.04414811047,109.9780263,-0.04414811047,109.9780263,0.03946151536,-0.02114239248,0.3079243165,0.6314399982,1.614575533e-14
0.0019,1.9,0,0,0.01675058614,-0.00207784597,-0.02845201272,109.971438,-0.02845201272,109.971438,0.02351469952,-0.01718808695,0,1,212.3690741
0.002,2,-100,100,0.01054617009,-0.001970138832,-185.2721609,526.5073139,-123.5147739,323.3161507,-62.23440348,103.75426,0,1,137.402129
0.0021,2.1,-100,100,-22.65135733,25.1600324,-236.7393644,402.0217066,-170.2293909,281.7895624,-104.3404796,192.566782,0,0.9594080279,78.80566173
0.0022,2.2,-100,100,-40.29563855,48.03974438,-282.6804342,288.3965133,-218.9253146,242.0757075,-133.7225358,267.7339662,0,1,48.60096772
0.0023,2.3,-100,100,-54.53808238,68.3934158,-322.2838552,186.1781598,-284.7895101,155.2552209,-160.7074728,312.4574707,0.1410449262,1,40.98976342
0.0024,2.4,-100,100,-70.88693492,82.07014813,-326.7546889,105.1904779,-286.6606502,96.66822689,-171.9836615,339.9381757,0.04067312667,1,20.94836666
0.0025,2.5,-100,100,-80.31469944,90.82193324,-328.3076897,54.19950093,-310.165872,43.7253176,-183.0199052,351.7426011,0,0.9007902395,15.52609992
0.0026,2.6,-100,100,-89.99406029,95.55343602,-314.1385783,19.16557348,-298.9517609,22.39363117,-186.5778232,360.2813284,0,0.8247405914,16.76207496
0.0027,2.7,-100,100,-95.05043642,98.70962807,-307.0059586,-1.731924476,-290.335708,-3.484038413,-184.5264423,360.694917,0.01681935108,0.9411509628,6.010809385e-14
0.0028,2.8,-100,100,-96.86718822,99.41369544,-299.674447,-7.830783066,-299.674447,-7.830783066,-187.5089273,361.810701,0.1336333537,1,1.022899777
0.0029,2.9,-100,100,-100.2684975,100.2264379,-290.7337592,-16.27778904,-289.7609237,-15.96169562,-186.875412,361.4285644,0.2168070837,1,3.772679589
0.003,3,-100,100,-101.3766789,100.3320436,-285.6590194,-18.19637549,-281.8863398,-18.19637549,-184.0500641,360.4937135,0.1032875233,0.9735826925,5.783398861e-14
0.0031,3.1,-100,100,-100.8879855,100.103641,-284.1816867,-16.39565865,-284.1816867,-16.39565865,-183.2046883,360.2964765,0.02658830463,0.8915776627,7.105427358e-15
0.0032,3.2,-100,100,-100.9697997,100.0856825,-282.9232274,-16.34305709,-282.9232274,-16.34305709,-182.281424,360.133416,0,0.7736512721,1.778854672
0.0033,3.3,-100,100,-100.809623,100.0435948,-282.5573905,-15.8690791,-280.7882806,-15.68313816,-180.8078195,359.9830475,0.01048053716,0.8581075905,6.204547701e-14
0.0034,3.4,-100,100,-100.2265991,99.96880003,-283.3792413,-14.69771003,-283.3792413,-14.69771003,-180.5920936,360.0424235,0.07482846428,0.9515908111,5.783398861e-14
0.0035,3.5,-100,100,-100.1820261,99.99827258,-283.4714271,-14.7947942,-283.4714271,-14.7947942,-180.418802,360.0457109,0.1808606597,1,0.2862659571
0.0036,3.6,-100,100,-100.1366789,100.0100831,-283.5450595,-14.81628702,-283.2650491,-14.75676898,-180.1786473,360.0279336,0.1809452908,1,0.4275600213
0.0037,3.7,-100,100,-100.0393559,100.0090536,-283.7327629,-14.70513429,-283.3075451,-14.74982648,-179.9686608,359.9586151,0.07461632897,0.952535716,7.671311722e-14
0.0038,3.8,-100,100,-99.94702466,99.99445979,-283.8799519,-14.54808589,-283.8799519,-14.54808589,-180.0190942,359.9691585,0.009824134251,0.8591679354,6.010809385e-14
0.0039,3.9,-100,100,-99.9741981,100.0070357,-283.859081,-14.66733599,-283.859081,-14.66733599,-180.043658,359.9557691,0,0.7761760936,2.546001676
0.004,4,-100,100,-99.9917003,100.0099056,-283.8190025,-14.72140549,-281.2730008,-14.72140549,-179.0293415,359.7324743,0.02398887942,0.8941080323,7.105427358e-14
0.0041,4.1,-100,100,-99.4819585,99.91706748,-284.7120015,-13.62700699,-284.7120015,-13.62700699,-179.5225249,359.8903015,0.1039483169,0.9744790622,8.165446939e-14
0.0042,4.2,-100,100,-99.69681652,99.98413496,-284.505621,-14.25850655,-284.505621,-14.25850655,-179.8111603,359.9204939,0.2227297019,1,2.80229481
0.0043,4.3,-100,100,-99.84372352,100.007895,-284.2361101,-14.58365747,-281.4491665,-14.2907379,-178.8527426,359.7992848,0.1412120387,0.9930296183,1.163751005e-13
0.0044,4.4,-100,100,-99.35965612,99.93931494,-285.1574871,-13.60926657,-285.1574871,-13.60926657,-179.4623599,359.9147733,0.04688096901,0.9275544082,6.010809385e-14
0.0045,4.5,-100,100,-99.6455767,100.0008996,-284.7359464,-14.31618874,-284.7359464,-14.31618874,-179.7997763,359.9130612,0,0.8203083092,0.7761808211
0.0046,4.6,-100,100,-99.82718256,100.0165321,-284.3328196,-14.64470778,-283.5736002,-14.48333071,-179.6659544,359.8854269,0,0.8194251381,0.8764613525
0.0047,4.7,-100,100,-99.77192834,100.0016106,-284.3868275,-14.48633865,-283.5151675,-14.57795381,-179.5294328,359.7755842,0.04642418989,0.9258225724,6.703246763e-14
0.0048,4.8,-100,100,-99.71296581,99.96851699,-284.3907069,-14.26324597,-284.3907069,-14.26324597,-179.8026938,359.8354989,0.1402904091,0.9906217996,5.709267256e-14
