time_s,time_ms,id_ref_A,iq_ref_A,id_A,iq_A,ud_unclipped_V,uq_unclipped_V,ud_clipped_V,uq_clipped_V,xI_d_V,xI_q_V,duty_min,duty_max,saturation_norm_V
0,0,0,0,0,0,0,0,0,0,0,0,0.2051485554,0.8199919171,6.070879796e-14
0.0001,0.1,0,0,-1.288515354,-10.68131866,48.03950836,193.4099198,48.03950836,193.4099198,1.22668641,20.32739563,0.3423445422,0.7713809616,3.218344867e-14
0.0002,0.2,0,0,2.624281614,-2.54766956,1.760082843,152.625458,1.760082843,152.625458,-1.271670022,25.17581278,0.3058379435,0.6937713958,4.322062729e-14
0.0003,0.3,0,0,1.97637594,1.472760638,-13.32806976,124.7151908,-13.32806976,124.7151908,-3.153210326,22.37303265,0.306147688,0.6283292562,1.464821376e-14
0.0004,0.4,0,0,0.4572724193,2.849562228,-14.23364899,109.5191016,-14.23364899,109.5191016,-3.588540715,16.95008996,0.3154580385,0.6083625136,2.309263891e-14
0.0005,0.5,0,0,-0.6146520356,2.832377018,-10.40530491,103.3434984,-10.40530491,103.3434984,-3.003382527,11.55985206,0.3296637938,0.6431915817,3.552713679e-14
0.0006,0.6,0,0,-1.036686575,2.255509184,-6.206904898,102.313914,-6.206904898,102.313914,-2.016440959,7.267439354,0.3536403857,0.6712526009,3.035439898e-14
0.0007,0.7,0,0,-1.00089683,1.580080843,-3.129767355,103.5837512,-3.129767355,103.5837512,-1.063571775,4.260420297,0.3912024799,0.6875467052,2.025480127e-14
0.0008,0.8,0,0,-0.7515134357,1.009108102,-1.316330975,105.4663164,-1.316330975,105.4663164,-0.3481194192,2.340007611,0.3713809039,0.6870095144,2.873312098e-14
0.0009,0.9,0,0,-0.4630312699,0.5975059487,-0.4362637374,107.1576849,-0.4362637374,107.1576849,0.09269347656,1.202906439,0.3322767912,0.667535307,1.747645528e-14
0.001,1,0,0,-0.2247376201,0.3308335301,-0.1052249738,108.3944928,-0.1052249738,108.3944928,0.3066471505,0.5733040126,0.309276307,0.6304136568,4.007432247e-14
0.0011,1.1,0,0,-0.06378715274,0.1719436153,-0.03572959746,109.1837668,-0.03572959746,109.1837668,0.3673735024,0.2460816857,0.3053109695,0.6151551375,5.526486395e-14
0.0012,1.2,0,0,0.0264968145,0.08384625107,-0.05752745238,109.6324484,-0.05752745238,109.6324484,0.3421481278,0.08651562474,0.32084904,0.6588040123,1.438759196e-14
0.0013,1.3,0,0,0.06548459769,0.03807160237,-0.0895669158,109.8587563,-0.0895669158,109.8587563,0.2798057832,0.01406234801,0.3542072603,0.686798656,1.798237884e-14
0.0014,1.4,0,0,0.07317471021,0.01566431542,-0.1043143748,109.9566752,-0.1043143748,109.9566752,0.2101423331,-0.01574808578,0.401640848,0.6964089088,2.885747077e-14
0.0015,1.5,0,0,0.06508792811,0.005275868021,-0.100032475,109.9889889,-0.100032475,109.9889889,0.1481776238,-0.02578848082,0.3539349459,0.6867555737,1.753317756e-14
0.0016,1.6,0,0,0.05129096069,0.0006945081751,-0.08385741243,109.9924482,-0.08385741243,109.9924482,0.0993478398,-0.02711018495,0.3205303093,0.6588272012,1.929012505e-15
0.0017,1.7,0,0,0.03731410384,-0.00121453358,-0.06347442526,109.9859986,-0.06347442526,109.9859986,0.06382423861,-0.02479883132,0.304678268,0.6153709739,4.321153601e-14
0.0018,1.8,0,0,0.02559068208,-0.00192132769,-0.04414811047,109.9780263,-0.04414811047,109.9780263,0.03946151536,-0.02114239248,0.3079243165,0.6314399982,2.132541932e-14
0.0019,1.9,0,0,0.01675058614,-0.00207784597,-0.02845201272,109.971438,-0.02845201272,109.971438,0.02351469952,-0.01718808695,0,1,212.3690741
0.002,2,-100,100,0.01054617009,-0.001970138832,-185.2721609,526.5073139,-123.5147739,323.3161507,-60.75222412,99.861881,0,1,133.9666677
0.0021,2.1,-100,100,-22.65135733,25.1600324,-235.6464229,398.4257635,-171.0190773,281.0785256,-102.3510177,187.6313347,0,0.9521452075,75.80687877
0.0022,2.2,-100,100,-40.46483897,47.99904184,-280.2753028,284.0541412,-218.9462496,239.4959759,-131.4288496,262.7523345,0,1,44.08867805
0.0023,2.3,-100,100,-54.77504144,68.13640761,-318.4221205,183.5093145,-285.024713,154.7269466,-159.2639753,308.512979,0.1470397188,1,38.07713636
0.0024,2.4,-100,100,-71.35182183,81.8461176,-322.7627363,102.9576951,-285.5176767,95.04101329,-170.5788747,336.6144587,0.04631905138,1,18.26442444
0.0025,2.5,-100,100,-80.72858912,90.50712689,-324.1579089,53.33530543,-308.3404533,44.20309321,-181.9060679,349.5213899,0,0.8967448245,13.70094934
0.0026,2.6,-100,100,-90.2487922,95.33258478,-311.2454337,18.72213257,-297.843883,21.57072012,-185.6861569,358.4744531,0,0.8215093916,15.05480683
0.0027,2.7,-100,100,-95.24071972,98.4425705,-304.395233,-1.392097459,-289.422898,-2.965753282,-183.8692806,359.5217731,0.01995539298,0.9379544597,1.598721155e-14
0.0028,2.8,-100,100,-97.04363223,99.23385709,-297.641788,-7.583097206,-297.641788,-7.583097206,-186.6837882,360.9798038,0.1338854814,1,0.2826549888
0.0029,2.9,-100,100,-100.1500573,100.0524494,-289.8254588,-15.48002662,-289.5566379,-15.39268143,-186.43181,360.8940776,0.2181915375,1,3.374942611
0.003,3,-100,100,-101.3154849,100.2117395,-285.0624139,-17.64559331,-281.6874713,-17.64559331,-183.7634645,360.2079238,0.1041655207,0.9731320562,6.703246763e-14
0.0031,3.1,-100,100,-100.8536952,100.0370563,-283.811263,-16.07225381,-283.811263,-16.07225381,-182.9507335,360.1374027,0.0269563325,0.8917553951,5.728578677e-14
0.0032,3.2,-100,100,-100.8971264,100.0412112,-282.8300922,-16.04553675,-282.8300922,-16.04553675,-182.0966554,360.0589746,0,0.7739882914,1.787896299
0.0033,3.3,-100,100,-100.7396171,100.0192154,-282.5928398,-15.66155042,-280.8147378,-15.47466436,-180.6543528,359.9516123,0.01035102228,0.8579940598,5.684341886e-14
0.0034,3.4,-100,100,-100.1720005,99.95769468,-283.4262152,-14.56986294,-283.4262152,-14.56986294,-180.4906057,360.0321227,0.07465696778,0.9516275815,5.709267256e-14
0.0035,3.5,-100,100,-100.1401855,99.9939493,-283.5387631,-14.71934759,-283.5387631,-14.71934759,-180.3571469,360.0436376,0.1807397552,1,0.3198779989
0.0036,3.6,-100,100,-100.1085994,100.0092903,-283.6045784,-14.77876995,-283.2916905,-14.71226358,-180.1252744,360.0276058,0.180931024,1,0.4641990028
0.0037,3.7,-100,100,-100.0154634,100.0090642,-283.7850679,-14.67700794,-283.3234118,-14.72552995,-179.9148258,359.95126,0.07458701895,0.9526213829,7.105427358e-15
0.0038,3.8,-100,100,-99.92503239,99.99349221,-283.920221,-14.52058466,-283.920221,-14.52058466,-179.9861961,359.9636448,0.009780518522,0.8592252512,1.776356839e-14
0.0039,3.9,-100,100,-99.95974456,100.0067298,-283.8894056,-14.65304686,-283.8894056,-14.65304686,-180.0245199,359.9508374,0,0.7761835991,2.559343026
0.004,4,-100,100,-99.98282186,100.009758,-283.8390145,-14.7147049,-281.2796715,-14.7147049,-178.9670813,359.7175087,0.02403260504,0.8940595241,5.783398861e-14
0.0041,4.1,-100,100,-99.47406766,99.91637993,-284.6833893,-13.61818717,-284.6833893,-13.61818717,-179.467777,359.8766443,0.1039245755,0.9744604601,5.783398861e-14
0.0042,4.2,-100,100,-99.68308742,99.98208527,-284.5047949,-14.23475042,-284.5047949,-14.23475042,-179.7694827,359.9107374,0.2226849515,1,2.808708497
0.0043,4.3,-100,100,-99.83025377,100.0061743,-284.248122,-14.56140853,-281.4547999,-14.26781855,-178.7714413,359.7877732,0.1412812567,0.9929830472,6.070879796e-14
0.0044,4.4,-100,100,-99.34757342,99.93806889,-285.125802,-13.58563649,-285.125802,-13.58563649,-179.3925614,359.905633,0.04690225552,0.9275930894,5.728578677e-14
0.0045,4.5,-100,100,-99.62702894,99.99901492,-284.7415704,-14.28260687,-284.7415704,-14.28260687,-179.7476356,359.9075077,0,0.8203691192,0.7858786953
0.0046,4.6,-100,100,-99.80977813,100.0153508,-284.3534778,-14.6174849,-283.5847724,-14.45409154,-179.6130687,359.8823436,0,0.8194046327,0.8870097554
0.0047,4.7,-100,100,-99.75645068,100.0009956,-284.4002226,-14.46241277,-283.518072,-14.55513054,-179.4709282,359.7675257,0.04639652083,0.9258115309,1.776356839e-14
