time_s,time_ms,id_ref_A,iq_ref_A,id_A,iq_A,ud_unclipped_V,uq_unclipped_V,ud_clipped_V,uq_clipped_V,xI_d_V,xI_q_V,duty_min,duty_max,saturation_norm_V
0,0,0,0,0,0,0,0,0,0,0,0,0.2051485554,0.8199919171,6.070879796e-14
0.0001,0.1,0,0,-1.288515354,-10.68131866,48.03950836,193.4099198,48.03950836,193.4099198,1.22668641,20.32739563,0.3423445422,0.7713809616,2.864289338e-14
0.0002,0.2,0,0,2.624281614,-2.54766956,1.760082843,152.625458,1.760082843,152.625458,-1.271670022,25.17581278,0.3058379435,0.6937713958,1.065814104e-14
0.0003,0.3,0,0,1.97637594,1.472760638,-13.32806976,124.7151908,-13.32806976,124.7151908,-3.153210326,22.37303265,0.306147688,0.6283292562,2.977716671e-14
0.0004,0.4,0,0,0.4572724193,2.849562228,-14.23364899,109.5191016,-14.23364899,109.5191016,-3.588540715,16.95008996,0.3154580385,0.6083625136,3.499017183e-14
0.0005,0.5,0,0,-0.6146520356,2.832377018,-10.40530491,103.3434984,-10.40530491,103.3434984,-3.003382527,11.55985206,0.3296637938,0.6431915817,1.865174681e-14
0.0006,0.6,0,0,-1.036686575,2.255509184,-6.206904898,102.313914,-6.206904898,102.313914,-2.016440959,7.267439354,0.3536403857,0.6712526009,3.15303339e-14
0.0007,0.7,0,0,-1.00089683,1.580080843,-3.129767355,103.5837512,-3.129767355,103.5837512,-1.063571775,4.260420297,0.3912024799,0.6875467052,1.4383281e-14
0.0008,0.8,0,0,-0.7515134357,1.009108102,-1.316330975,105.4663164,-1.316330975,105.4663164,-0.3481194192,2.340007611,0.3713809039,0.6870095144,2.843558383e-14
0.0009,0.9,0,0,-0.4630312699,0.5975059487,-0.4362637374,107.1576849,-0.4362637374,107.1576849,0.09269347656,1.202906439,0.3322767912,0.667535307,4.62130334e-15
0.001,1,0,0,-0.2247376201,0.3308335301,-0.1052249738,108.3944928,-0.1052249738,108.3944928,0.3066471505,0.5733040126,0.309276307,0.6304136568,8.604228441e-15
0.0011,1.1,0,0,-0.06378715274,0.1719436153,-0.03572959746,109.1837668,-0.03572959746,109.1837668,0.3673735024,0.2460816857,0.3053109695,0.6151551375,2.883589253e-14
0.0012,1.2,0,0,0.0264968145,0.08384625107,-0.05752745238,109.6324484,-0.05752745238,109.6324484,0.3421481278,0.08651562474,0.32084904,0.6588040123,1.626476731e-14
0.0013,1.3,0,0,0.06548459769,0.03807160237,-0.0895669158,109.8587563,-0.0895669158,109.8587563,0.2798057832,0.01406234801,0.3542072603,0.686798656,2.001177002e-14
0.0014,1.4,0,0,0.07317471021,0.01566431542,-0.1043143748,109.9566752,-0.1043143748,109.9566752,0.2101423331,-0.01574808578,0.401640848,0.6964089088,4.30211422e-16
0.0015,1.5,0,0,0.06508792811,0.005275868021,-0.100032475,109.9889889,-0.100032475,109.9889889,0.1481776238,-0.02578848082,0.3539349459,0.6867555737,2.114238956e-14
0.0016,1.6,0,0,0.05129096069,0.0006945081751,-0.08385741243,109.9924482,-0.08385741243,109.9924482,0.0993478398,-0.02711018495,0.3205303093,0.6588272012,1.554312234e-15
